date,version
2017-11-30,0.0.0
2018-07-16,0.0.0
2018-07-20,0.0.1
2018-07-27,0.0.2
2018-07-30,0.0.3
2018-07-31,0.0.4
2018-08-01,0.0.5
2018-08-02,0.0.6
2018-08-05,0.0.7
2018-08-14,0.0.6
2018-08-15,0.0.8
2018-08-16,0.01.002
2018-09-09,0.01.010
2018-11-27,0.03.00
2018-11-28,0.05.01
2018-12-12,0.06.03
2018-12-13,0.06.10
2018-12-14,0.06.12
2018-12-15,0.07.04
2018-12-16,0.08.00
2019-04-24,01.00.000
2019-08-14,01.00.000
2019-09-17,01.00.05
2019-09-27,01.00.06
2019-09-30,01.00.07
2019-10-29,01.01.000
2019-12-03,01.01.000
2019-12-04,01.01.000
2019-12-18,01.01.000
2019-12-30,01.01.01
2020-01-03,01.01.01
2020-01-07,01.02.000
2020-01-08,01.02.000
2020-01-14,01.02.000
2020-01-17,01.02.000
2020-01-26,01.02.000
2020-02-04,01.02.000
2020-05-13,01.02.000
2020-05-27,01.02.000
2020-06-17,01.02.000
2020-07-09,01.02.000
2020-08-03,01.02.000
2020-08-24,01.02.000
2020-09-08,01.02.000
2020-10-19,01.02.000
2020-11-04,01.02.000
2020-11-05,01.02.000
2021-01-18,01.02.01
2021-01-30,01.02.01
2021-02-01,01.02.02
2021-02-06,01.02.02
2021-04-10,01.02.02
2021-04-11,01.02.03
2021-04-27,01.02.03
2021-04-28,01.02.04
2021-05-27,01.02.05
